Year,Quarter,Area of Residence,Reason for Journey,Visitor Stay Avg,Visitor Spending,Overnight Tourist Trips
2012,1,France,Business,6.6,9.0,9.0
2012,2,France,Business,5.8,6.0,6.0
2012,3,France,Business,9.3,6.0,7.0
2012,4,France,Business,9.1,5.0,5.0
2013,1,France,Business,6.0,7.0,8.0
2013,2,France,Business,5.1,5.0,4.0
2013,3,France,Business,12.0,6.0,5.0
2013,4,France,Business,6.7,8.0,5.0
2014,1,France,Business,7.0,6.0,6.0
2014,2,France,Business,5.3,9.0,5.0
2014,3,France,Business,12.3,6.0,4.0
2014,4,France,Business,7.3,6.0,5.0
2015,1,France,Business,5.2,8.0,5.0
2015,2,France,Business,7.9,4.0,3.0
2015,3,France,Business,10.0,8.0,5.0
2015,4,France,Business,7.2,6.0,4.0
2016,1,France,Business,6.8,8.0,6.0
2016,2,France,Business,4.6,6.0,4.0
2016,3,France,Business,14.3,9.0,5.0
2016,4,France,Business,6.6,8.0,5.0
2017,1,France,Business,8.9,9.0,5.0
2017,2,France,Business,4.7,10.0,5.0
2017,3,France,Business,16.2,9.0,4.0
2017,4,France,Business,16.6,10.0,5.0
2018,1,France,Business,6.1,9.0,5.0
2018,2,France,Business,8.3,11.0,4.0
2018,3,France,Business,12.6,8.0,3.0
2018,4,France,Business,6.2,6.0,5.0
2019,1,France,Business,7.4,8.0,5.0
2019,2,France,Business,6.9,9.0,6.0
2019,3,France,Business,11.0,5.0,4.0
2019,4,France,Business,10.0,10.0,5.0
2012,1,France,Holiday/leisure/recreation,5.4,10.0,5.0
2012,2,France,Holiday/leisure/recreation,6.7,46.0,10.0
2012,3,France,Holiday/leisure/recreation,9.8,49.0,8.0
2012,4,France,Holiday/leisure/recreation,5.3,15.0,5.0
2013,1,France,Holiday/leisure/recreation,3.9,17.0,9.0
2013,2,France,Holiday/leisure/recreation,6.2,36.0,9.0
2013,3,France,Holiday/leisure/recreation,9.2,54.0,7.0
2013,4,France,Holiday/leisure/recreation,5.3,12.0,5.0
2014,1,France,Holiday/leisure/recreation,5.3,10.0,6.0
2014,2,France,Holiday/leisure/recreation,6.8,37.0,9.0
2014,3,France,Holiday/leisure/recreation,9.2,55.0,8.0
2014,4,France,Holiday/leisure/recreation,4.4,15.0,6.0
2015,1,France,Holiday/leisure/recreation,4.4,13.0,8.0
2015,2,France,Holiday/leisure/recreation,6.6,55.0,9.0
2015,3,France,Holiday/leisure/recreation,8.8,64.0,7.0
2015,4,France,Holiday/leisure/recreation,5.5,17.0,6.0
2016,1,France,Holiday/leisure/recreation,5.6,17.0,6.0
2016,2,France,Holiday/leisure/recreation,8.1,62.0,9.0
2016,3,France,Holiday/leisure/recreation,9.2,78.0,7.0
2016,4,France,Holiday/leisure/recreation,5.4,18.0,5.0
2017,1,France,Holiday/leisure/recreation,4.8,24.0,8.0
2017,2,France,Holiday/leisure/recreation,7.3,57.0,8.0
2017,3,France,Holiday/leisure/recreation,8.8,74.0,7.0
2017,4,France,Holiday/leisure/recreation,6.7,33.0,6.0
2018,1,France,Holiday/leisure/recreation,6.0,24.0,6.0
2018,2,France,Holiday/leisure/recreation,6.7,64.0,8.0
2018,3,France,Holiday/leisure/recreation,8.4,74.0,7.0
2018,4,France,Holiday/leisure/recreation,5.2,22.0,5.0
2019,1,France,Holiday/leisure/recreation,5.0,23.0,8.0
2019,2,France,Holiday/leisure/recreation,6.3,50.0,7.0
2019,3,France,Holiday/leisure/recreation,8.9,76.0,6.0
2019,4,France,Holiday/leisure/recreation,5.3,21.0,6.0
2012,1,France,Other reason for journey,18.3,4.0,10.0
2012,2,France,Other reason for journey,24.5,5.0,9.0
2012,3,France,Other reason for journey,20.7,6.0,6.0
2012,4,France,Other reason for journey,20.8,6.0,12.0
2013,1,France,Other reason for journey,31.0,8.0,13.0
2013,2,France,Other reason for journey,22.9,14.0,15.0
2013,3,France,Other reason for journey,10.1,9.0,9.0
2013,4,France,Other reason for journey,28.4,6.0,10.0
2014,1,France,Other reason for journey,21.0,3.0,9.0
2014,2,France,Other reason for journey,24.3,11.0,10.0
2014,3,France,Other reason for journey,11.9,11.0,8.0
2014,4,France,Other reason for journey,23.6,6.0,8.0
2015,1,France,Other reason for journey,31.1,7.0,12.0
2015,2,France,Other reason for journey,22.7,13.0,12.0
2015,3,France,Other reason for journey,14.8,8.0,10.0
2015,4,France,Other reason for journey,17.0,9.0,11.0
2016,1,France,Other reason for journey,20.8,11.0,10.0
2016,2,France,Other reason for journey,33.8,14.0,12.0
2016,3,France,Other reason for journey,16.1,8.0,6.0
2016,4,France,Other reason for journey,16.5,6.0,7.0
2017,1,France,Other reason for journey,23.9,12.0,13.0
2017,2,France,Other reason for journey,23.3,7.0,6.0
2017,3,France,Other reason for journey,11.6,9.0,6.0
2017,4,France,Other reason for journey,32.8,12.0,10.0
2018,1,France,Other reason for journey,23.2,9.0,11.0
2018,2,France,Other reason for journey,26.1,17.0,8.0
2018,3,France,Other reason for journey,15.6,8.0,5.0
2018,4,France,Other reason for journey,21.4,9.0,11.0
2019,1,France,Other reason for journey,18.8,6.0,11.0
2019,2,France,Other reason for journey,30.5,14.0,12.0
2019,3,France,Other reason for journey,11.6,8.0,7.0
2019,4,France,Other reason for journey,22.2,9.0,10.0
